Entidad,% Residen_en_la_entidad,%Residen_en_otra_enti,%Residentes_en_otro_pais
Tabasco,97.4,2.5,0.1
Yucatan,96.5,3.4,0.1
Mexico,97,2.8,0.2
Veracruz ,97.4,2.4,0.2
Campeche,95.5,4.2,0.3
Coahuila de Zaragoza,96.1,3.6,0.3
Sinaloa,97.2,2.5,0.3
Tlaxcala,96.3,3.4,0.3
Estados Unidos Mexicanos,96.6,2.9,0.4
Baja California Sur,89.7,9.9,0.4
Chiapas,98.3,1.3,0.4
Guanajuato,97.5,2.1,0.4
Hidalgo,96.2,3.4,0.4
Morelos,96.9,2.8,0.4
Nuevo Leon,95.8,3.7,0.4
Oaxaca,97.3,2.3,0.4
Puebla,97,2.7,0.4
Queretaro,94.1,5.5,0.4
San Luis Potosi,97.1,2.5,0.4
Tamaulipas,97.1,2.4,0.4
Ciudad de Mexico,97,2.5,0.5
Guerrero,97.7,1.9,0.5
Quintana Roo,89.7,9.9,0.5
Aguascalientes,95.9,3.5,0.6
Chihuahua,96.8,2.6,0.6
Jalisco,97.2,2.2,0.6
Nayarit,96.5,2.9,0.6
Colima,93.8,5.5,0.7
Durango,96.6,2.8,0.7
Sonora,95.6,3.6,0.7
Michoacan de Ocampo,97,2,0.9
Zacatecas,97.1,2,1
Baja California,92.8,6,1.2
