Entidad,2008,2010,2012,2014,2016,2018
Aguascalientes,37.6,38.1,37.8,34.8,28.2,26.2
Baja California,26.0,31.5,30.2,28.6,22.2,23.3
Baja California Sur,21.4,31.0,30.1,30.3,22.1,18.1
Campeche,45.9,50.5,44.7,43.6,43.8,46.2
Coahuila,32.7,27.8,27.9,30.2,24.8,22.5
Colima,27.4,34.7,34.4,34.3,33.6,30.9
Chiapas,77.0,78.5,74.7,76.2,77.1,76.4
Chihuahua,32.1,38.8,35.3,34.4,30.6,26.3
Ciudad de México,27.6,28.5,28.9,28.4,27.6,30.6
Durango,48.4,51.6,50.1,43.5,36.0,37.3
Guanajuato,44.1,48.5,44.5,46.6,42.4,43.4
Guerrero,68.4,67.6,69.7,65.2,64.4,66.5
Hidalgo,55.2,54.7,52.8,54.3,50.6,43.8
Jalisco,36.7,37.0,39.8,35.4,31.8,28.4
México,43.6,42.9,45.3,49.6,47.9,42.7
Michoacán,55.5,54.7,54.4,59.2,55.3,46.0
Morelos,48.8,43.2,45.5,52.3,49.5,50.8
Nayarit,41.7,41.4,47.6,40.5,37.5,34.8
Nuevo León,21.4,21.0,23.2,20.4,14.2,14.5
Oaxaca,61.8,67.0,61.9,66.8,70.4,66.4
Puebla,64.6,61.5,64.5,64.5,59.4,58.9
Querétaro,35.2,41.4,36.9,34.2,31.1,27.6
Quintana Roo,33.7,34.6,38.8,35.9,28.8,27.6
San Luis Potosí,50.9,52.4,50.5,49.1,45.5,43.4
Sinaloa,32.4,36.7,36.3,39.4,30.8,30.9
Sonora,27.1,33.1,29.1,29.4,27.9,28.2
Tabasco,53.8,57.1,49.7,49.6,50.9,53.6
Tamaulipas,33.8,39.0,38.4,37.9,32.2,35.1
Tlaxcala,59.6,60.3,57.9,58.9,53.9,48.4
Veracruz,51.2,57.6,52.6,58.0,62.2,61.8
Yucatán,47.0,48.3,48.9,45.9,41.9,40.8
Zacatecas,50.1,60.2,54.2,52.3,49.0,46.8
Estados Unidos Mexicanos,44.4,46.1,45.5,46.2,43.6,41.9
